codigo;ideps;eps;nomcategorias;nomservicio;nomespecifique;nomindicador;numerador;denominador;resultado;nomunidad;nomfuente;linkfuente
4.2.1.2;EPS001;ALIANSALUD EPS;Tiempos de espera;Cirugías;Cirugía programada;Usuarios que consideran oportuno el tiempo de espera para la atención de cirugía.;1751;16217;10;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
6.1.1.1;EPS005;SANITAS EPS;Tutelas;Mostrar resultado;Mostrar resultado;Tutelas por no prestación de servicios POS o POSS (tasa por 10.000 afiliados).;56;1482028;0;Tasa X 10mil afiliados;Reporte de la EPS a la Supersalud;https://www.supersalud.gov.co/vigilados/vigilados/estadisticas
4.3.4.1;EPS018;SOS EPS;Tiempos de espera;Consultas;Medicina especializada;Usuarios que consideran oportuno el tiempo de espera para la atención de medicina especializada.;35714;221480;16;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
6.1.1.1;EPSI01;DUSAKAWI;Tutelas;Mostrar resultado;Mostrar resultado;Tutelas por no prestación de servicios POS o POSS (tasa por 10.000 afiliados).;53;204250;2;Tasa X 10mil afiliados;Reporte de la EPS a la Supersalud;https://www.supersalud.gov.co/vigilados/vigilados/estadisticas
4.1.2.1;CCF055;CAJACOPI;Tiempos de espera;Autorizaciones;Traslados;Tiempo en la autorización para referencias (traslado de una IPS a otra).;2130120;7805;272;Minutos;Reporte de la EPS a la Supersalud;https://www.supersalud.gov.co/vigilados/vigilados/estadisticas
3.5.1.1;CCF033;COMFASUCRE;Satisfacción con los servicios;Medicamentos;Entrega de medicamentos;Usuarios que califican como bueno el servicio de entrega de medicamentos de su EPS.;39853;41802;95;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.3.10.1;CCF033;COMFASUCRE;Tiempos de espera;Consultas;Promoción y prevención de la enfermedad (p y p);Usuarios que consideran oportuno el tiempo de espera para atención de programas de promoción y prevención.;1215;3929;30;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
6.1.1.1;EPS002;SALUD TOTAL EPS;Tutelas;Mostrar resultado;Mostrar resultado;Tutelas por no prestación de servicios POS o POSS (tasa por 10.000 afiliados).;1765;2110116;8;Tasa X 10mil afiliados;Reporte de la EPS a la Supersalud;https://www.supersalud.gov.co/vigilados/vigilados/estadisticas
4.3.9.1;EPSI04;ANAS WAYUU EPSI;Tiempos de espera;Consultas;Pediatría;Espera para la asignación de citas de consulta de pediatría.;70884;17811;3;Días;Reporte de la EPS a la Supersalud;https://www.supersalud.gov.co/vigilados/vigilados/estadisticas
3.3.1.1;EPS008;COMPENSAR EPS;Satisfacción con los servicios;Experiencia global;Experiencia global con los servicios de salud;Usuarios que califican como buena su experiencia global del servicio de salud recibidos de su EPS.;498909;645672;77;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.1.2.1;CCF101;COLSUBSIDIO;Tiempos de espera;Autorizaciones;Traslados;Tiempo en la autorización para referencias (traslado de una IPS a otra).;112560;349;322;Minutos;Reporte de la EPS a la Supersalud;https://www.supersalud.gov.co/vigilados/vigilados/estadisticas
4.3.5.1;ESS062;ASMET SALUD;Tiempos de espera;Consultas;Medicina general;Usuarios que consideran oportuno el tiempo de espera para la atención de medicina general.;222745;353148;63;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
5.1.1.1;ESS091;ECOOPSOS EPS;Trato de personal administrativo;Mostrar resultado;Mostrar resultado;Usuarios que calificaron positivamente el trato por el personal administrativo de su EPS.;168775;194088;86;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.4.1.1;CCF015;COMFACOR;Tiempos de espera;Hospitalización;Atención de hospitalización;Usuarios que consideran oportuno el tiempo de espera para la atención de hospitalización.;6965;17194;40;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.3.1.1;EPS033;SALUDVIDA EPS;Tiempos de espera;Consultas;Atención prioritaria;Usuarios que consideran oportuno el tiempo de espera para la atención de citas prioritarias.;15387;16848;91;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
3.2.2.1;CCF027;COMFAMILIAR NARIÑO;Satisfacción con los servicios;Consultas;Medicina general;Usuarios que califican como bueno el servicio de medicina general suministrado por su EPS.;64781;92089;70;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.3.5.1;CCF007;COMFAMILIAR CARTAGENA;Tiempos de espera;Consultas;Medicina general;Usuarios que consideran oportuno el tiempo de espera para la atención de medicina general.;72062;236569;30;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
6.1.1.1;CCF007;COMFAMILIAR CARTAGENA;Tutelas;Mostrar resultado;Mostrar resultado;Tutelas por no prestación de servicios POS o POSS (tasa por 10.000 afiliados).;252;221388;11;Tasa X 10mil afiliados;Reporte de la EPS a la Supersalud;https://www.supersalud.gov.co/vigilados/vigilados/estadisticas
3.2.2.1;CCF015;COMFACOR;Satisfacción con los servicios;Consultas;Medicina general;Usuarios que califican como bueno el servicio de medicina general suministrado por su EPS.;217374;246279;88;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.5.3.1;CCF023;COMFAMILIAR GUAJIRA;Tiempos de espera;Imágenes diagnosticas;Tomografías;Tiempo de espera para servicios de imagenología y diagnostico especializado tac.;34581;19146;1;Días;Reporte de la EPS a la Supersalud;https://www.supersalud.gov.co/vigilados/vigilados/estadisticas
4.2.1.1;CCF102;COMFAMILIAR CHOCO;Tiempos de espera;Cirugías;Cirugía programada;Tiempo de espera en  la realización de cirugía programada.;15744;1312;12;Días;Reporte de la EPS a la Supersalud;https://www.supersalud.gov.co/vigilados/vigilados/estadisticas
4.3.7.1;ESS002;EMDISALUD;Tiempos de espera;Consultas;Médico general;Espera para la asignación de citas de consulta de medica general.;683171;564846;1;Días;Reporte de la EPS a la Supersalud;https://www.supersalud.gov.co/vigilados/vigilados/estadisticas
3.5.1.1;EPS016;COOMEVA  EPS;Satisfacción con los servicios;Medicamentos;Entrega de medicamentos;Usuarios que califican como bueno el servicio de entrega de medicamentos de su EPS.;111243;139401;79;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
5.1.1.1;ESS062;ASMET SALUD;Trato de personal administrativo;Mostrar resultado;Mostrar resultado;Usuarios que calificaron positivamente el trato por el personal administrativo de su EPS.;388543;453770;85;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.3.4.1;EPSI06;PIJAOS SALUD EPSI;Tiempos de espera;Consultas;Medicina especializada;Usuarios que consideran oportuno el tiempo de espera para la atención de medicina especializada.;20910;45275;46;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.3.8.2;EPS010;EPS SURA;Tiempos de espera;Consultas;Odontología;Usuarios que consideran oportuno el tiempo de espera para la atención de odontología.;47974;87004;55;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.3.3.1;EPS003;CAFESALUD;Tiempos de espera;Consultas;Ginecobstetricia;Espera para la asignación de citas de consulta de ginecobstetricia.;2089751;278838;7;Días;Reporte de la EPS a la Supersalud;https://www.supersalud.gov.co/vigilados/vigilados/estadisticas
3.5.1.1;EPS025;CAPRESOCA;Satisfacción con los servicios;Medicamentos;Entrega de medicamentos;Usuarios que califican como bueno el servicio de entrega de medicamentos de su EPS.;12674;14360;88;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.2.1.1;ESS076;AMBUQ EPSS;Tiempos de espera;Cirugías;Cirugía programada;Tiempo de espera en  la realización de cirugía programada.;849102;95182;8;Días;Reporte de la EPS a la Supersalud;https://www.supersalud.gov.co/vigilados/vigilados/estadisticas
4.3.8.1;EPS005;SANITAS EPS;Tiempos de espera;Consultas;Odontología;Espera para la asignación de citas de consulta de odontología.;2009740;732452;2;Días;Reporte de la EPS a la Supersalud;https://www.supersalud.gov.co/vigilados/vigilados/estadisticas
3.2.2.1;ESS133;COMPARTA EPS;Satisfacción con los servicios;Consultas;Medicina general;Usuarios que califican como bueno el servicio de medicina general suministrado por su EPS.;237061;310049;76;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
2.1.1.1;CCF102;COMFAMILIAR CHOCO;Quejas;Mostrar resultado;Mostrar resultado;Quejas de los usuarios resueltas por la EPS.;989;1960;50;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.5.1.1;CCF023;COMFAMILIARGUAJIRA;Tiempos de espera;Imágenes diagnosticas;Imágenes diagnosticas;Usuarios que consideran oportuno el tiempo de espera para la atención de imágenes diagnosticas.;297;1573;18;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.4.1.1;CCF033;COMFASUCRE;Tiempos de espera;Hospitalización;Atención de hospitalización;Usuarios que consideran oportuno el tiempo de espera para la atención de hospitalización.;14076;15181;92;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.6.1.1;CCF102;COMFAMILIAR CHOCO;Tiempos de espera;Laboratorios;Laboratorios;Usuarios que consideran oportuno el tiempo de espera para la atención de exámenes de laboratorio.;4862;18166;26;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.7.1.2;EPSI05;MALLAMAS EPSI;Tiempos de espera;Medicamentos;Entrega de medicamentos;Usuarios que consideran oportuno el tiempo de espera para la entrega de medicamentos.;20569;40829;50;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.3.6.1;EPSI01;DUSAKAWI;Tiempos de espera;Consultas;Medicina interna;Espera para la asignación de citas de consulta de medicina interna.;160775;26395;6;Días;Reporte de la EPS a la Supersalud;https://www.supersalud.gov.co/vigilados/vigilados/estadisticas
4.3.6.1;EPS003;CAFESALUD;Tiempos de espera;Consultas;Medicina interna;Espera para la asignación de citas de consulta de medicina interna.;1945538;179562;10;Días;Reporte de la EPS a la Supersalud;https://www.supersalud.gov.co/vigilados/vigilados/estadisticas
3.3.3.1;ESS133;COMPARTA EPS;Satisfacción con los servicios;Experiencia global;Recomendación a familiares;Usuarios que recomendarían a sus familiares y amigos afiliarse a su EPS.;333471;387169;86;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.3.2.1;CCF053;COMFACUNDI;Tiempos de espera;Consultas;Cirujano general;Espera para la asignación de citas de consulta de cirugía general.;247095;36129;6;Días;Reporte de la EPS a la Supersalud;https://www.supersalud.gov.co/vigilados/vigilados/estadisticas
4.3.4.1;EPS002;SALUD TOTAL EPS;Tiempos de espera;Consultas;Medicina especializada;Usuarios que consideran oportuno el tiempo de espera para la atención de medicina especializada.;39411;215736;18;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
2.1.1.1;ESS091;ECOOPSOS EPS;Quejas;Mostrar resultado;Mostrar resultado;Quejas de los usuarios resueltas por la EPS.;4945;6748;73;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
3.3.3.1;EPS001;ALIANSALUD EPS;Satisfacción con los servicios;Experiencia global;Recomendación a familiares;Usuarios que recomendarían a sus familiares y amigos afiliarse a su EPS.;257697;282717;91;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.3.4.1;ESS133;COMPARTA EPS;Tiempos de espera;Consultas;Medicina especializada;Usuarios que consideran oportuno el tiempo de espera para la atención de medicina especializada.;28566;109488;26;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.3.5.1;EPSS34;CAPITAL SALUD EPS;Tiempos de espera;Consultas;Medicina general;Usuarios que consideran oportuno el tiempo de espera para la atención de medicina general.;195064;541207;36;%;Evaluación por parte de los usuarios;http://calidadensalud.minsalud.gov.co/IndicadoresdeCalidad/ListadodeIndicadores/ListadeIndicadores/Resultados/IndicadoresEPS.aspx
4.5.2.1;CCF018;CAFAM;Tiempos de espera;Imágenes diagnosticas;Radiología simple;Tiempo de espera para servicios de imagenología y diagnostico general radiología simple.;307007;134541;2;Días;Reporte de la EPS a la Supersalud;https://www.supersalud.gov.co/vigilados/vigilados/estadisticas
